Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Type	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Amantov et al., 2011	Boulton et al., 1991	10.1007/978-3-642-17220-5_3	UK/Scotland	unnamed	British Isles	53.34430	-1.87818		Continental			1.00E+05					1.00000			Boulton GS, Peacock JD, Sutherland DG (1991) Quaternary. In: Craig GY (ed) Geology of Scotland, 3rd edn. Geological Society, London, pp 503–543
Amantov et al., 2011	Clayton, 1996	10.1007/978-3-642-17220-5_3	UK/Britain	unnamed	British Isles	53.34430	-1.87818		Continental	Volumetric	2.72E+05	3.00E+05					17.00000	11.00000	23.00000	Assumes all erosion during glacials (15% of last 2 Ma) Clayton K (1996) Quantification of the impact of glacial erosion on the British Isles. Institute of British Geographers Transactions 21:124–140
Amantov et al., 2011	Faleide et al., 1996	10.1007/978-3-642-17220-5_3	Barents Sea-Svalbard continental margin	unnamed	Fennoscandia	67.18026	25.40585		High-latitude	Volumetric		2.50E+06					0.60000	0.10000	1.10000	Faleide JI, Solheim A, Fiedler A, Hjelstuen BO, Andersen ES, Vanneste K (1996) Late Cenozoic evolution of the western Barents Sea-Svalbard continental margin. Global and Planetary Change 12:53–74
Amantov et al., 2011	Solheim et al., 1996	10.1007/978-3-642-17220-5_3	Norwegian margin	unnamed	Fennoscandia	62.28011	8.68988		High-latitude	Volumetric		2.50E+06					0.40000	0.20000	0.60000	Solheim A, Riis F, Elverhøi A, Faleide JI, Jensen LN, Cloetingh S (1996) Impact of glaciations on basin evolution: data and models from the Norwegian Margin and adjacent areas. Global and Planetary Change 12:1–9
Anderson, 2005	Kraal, 2001; Anderson et al., 2003	10.1016/j.chemgeo.2003.01.001	Wrangell Mountains, Alaska	Kennicott Glacier	North American Cordillera	61.59991	-143.06951		Alpine	Volumetric	4.20E+02	1.67E-01					0.80000			Summer 1999
Anderson, 2005	Kraal, 2001; Anderson et al., 2003	10.1016/j.chemgeo.2003.01.001	Wrangell Mountains, Alaska	Kennicott Glacier	North American Cordillera	61.59991	-143.06951		Alpine	Volumetric	4.20E+02	1.67E-01					1.30000			Summer 2000
Anderson, 2005	Sharp et al., 1995	10.1130/0091-7613(1995)023<0061:ROCDAC>2.3.CO;2	Valais, Switzerland	Haut Glacier d'Arolla	Alps	45.99144	7.49477		Alpine	Volumetric	1.17E+01	4.17E-01					1.00000			1989. Arolla series of the Dent Blanche nappe
Anderson, 2005	Sharp et al., 1995	10.1130/0091-7613(1995)023<0061:ROCDAC>2.3.CO;2	Valais, Switzerland	Haut Glacier d'Arolla	Alps	45.99144	7.49477		Alpine	Volumetric	1.17E+01	4.17E-01					2.20000			1990. Arolla series of the Dent Blanche nappe
Antoniazza and Lane, 2021	Bratlie, 1994	10.1177/0309133321997292	Svalbard	Van Keulenfjorden	Fennoscandia	77.56008	15.48453		High-latitude	Volumetric		1.17E+04					0.19000	0.03000	0.35000	in Norwegian, MS thesis Universitetet i Oslo, Norway; details unknown
Antoniazza and Lane, 2021	Laberg and Vorren, 1996	10.1177/0309133321997292	Norway	Modern Norwegian glaciers	Fennoscandia	67.83612	15.03983		High-latitude	Volumetric	2.80E+05	6.22E+05					0.40000	0.20000	0.75000	https://doi.org/10.1016/0921-8181(95)00026-7
Antoniazza and Lane, 2021	Müller, 1999	10.1177/0309133321997292	Walensee Valley, Switzerland	unnamed	Alps	47.12264	9.20298		Alpine	Volumetric	2.69E+02	1.50E+04			17.800	24.500	1.50000	1.24000	1.69000	10.1016/S0985-3111(00)87046-1; catchment of the Lake of Walenstadt; soft-rock denudation & paraglacial estimates
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.00E+02		0.009			0.05000	0.00000	0.05000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.00E+02		0.012			0.06000	0.00000	0.06000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	2.02E+02		0.010			0.05000	0.00000	0.05000	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Cosmogenic surface	1.00E-08	8.70E+01		0.008			0.10000	0.00000	0.10000	
