Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Precipitation (mm/yr)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Amantov et al., 2011	Boulton et al., 1991	10.1007/978-3-642-17220-5_3	UK/Scotland	unnamed	British Isles	53.34430	-1.87818		1291.20000	88.13203	Continental		Volumetric		1.00000E+05					1.00000E+00			Boulton GS, Peacock JD, Sutherland DG (1991) Quaternary. In: Craig GY (ed) Geology of Scotland, 3rd edn. Geological Society, London, pp 503–543
Amantov et al., 2011	Clayton, 1996	10.1007/978-3-642-17220-5_3	UK/Britain	unnamed	British Isles	53.34430	-1.87818		1291.20000	88.13203	Continental	sed,	Volumetric	2.72000E+05	3.00000E+05					1.70000E+01	1.10000E+01	2.30000E+01	Assumes all erosion during glacials (15% of last 2 Ma) Clayton K (1996) Quantification of the impact of glacial erosion on the British Isles. Institute of British Geographers Transactions 21:124–140
Amantov et al., 2011	Faleide et al., 1996	10.1007/978-3-642-17220-5_3	Barents Sea-Svalbard continental margin	unnamed	Fennoscandia	67.18026	25.40585		783.50000	25.02615	High-latitude	plut, ign,	Volumetric		2.50000E+06					6.00000E-01	1.00000E-01	1.10000E+00	Faleide JI, Solheim A, Fiedler A, Hjelstuen BO, Andersen ES, Vanneste K (1996) Late Cenozoic evolution of the western Barents Sea-Svalbard continental margin. Global and Planetary Change 12:53–74
Amantov et al., 2011	Solheim et al., 1996	10.1007/978-3-642-17220-5_3	Norwegian margin	unnamed	Fennoscandia	62.28011	8.68988		897.00000	138.70196	High-latitude	sed, volc, ign, met,	Volumetric		2.50000E+06					4.00000E-01	2.00000E-01	6.00000E-01	Solheim A, Riis F, Elverhøi A, Faleide JI, Jensen LN, Cloetingh S (1996) Impact of glaciations on basin evolution: data and models from the Norwegian Margin and adjacent areas. Global and Planetary Change 12:1–9
Anderson, 2005	Kraal, 2001; Anderson et al., 2003	10.1016/j.chemgeo.2003.01.001	Wrangell Mountains, Alaska	Kennicott Glacier	North American Cordillera	61.59991	-143.06951		957.70000	280.54711	Alpine	basalt, volc, ign,	Volumetric	4.20000E+02	1.66667E-01					8.00000E-01			Summer 1999
Anderson, 2005	Kraal, 2001; Anderson et al., 2003	10.1016/j.chemgeo.2003.01.001	Wrangell Mountains, Alaska	Kennicott Glacier	North American Cordillera	61.59991	-143.06951		957.70000	280.54711	Alpine	basalt, volc, ign,	Volumetric	4.20000E+02	1.66667E-01					1.30000E+00			Summer 2000
Anderson, 2005	Sharp et al., 1995	10.1130/0091-7613(1995)023<0061:ROCDAC>2.3.CO;2	Valais, Switzerland	Haut Glacier d'Arolla	Alps	45.99144	7.49477		1663.60000	423.11876	Alpine	sed, basalt, volc, ign, met,	Volumetric	1.17000E+01	4.16667E-01					1.00000E+00			1989. Arolla series of the Dent Blanche nappe
Anderson, 2005	Sharp et al., 1995	10.1130/0091-7613(1995)023<0061:ROCDAC>2.3.CO;2	Valais, Switzerland	Haut Glacier d'Arolla	Alps	45.99144	7.49477		1663.60000	423.11876	Alpine	sed, basalt, volc, ign, met,	Volumetric	1.17000E+01	4.16667E-01					2.20000E+00			1990. Arolla series of the Dent Blanche nappe
Antoniazza and Lane, 2021	Bratlie, 1994	10.1177/0309133321997292	Svalbard	Van Keulenfjorden	Fennoscandia	77.56008	15.48453		578.70000	128.63975	High-latitude		Volumetric		1.17000E+04					1.90000E-01	3.00000E-02	3.50000E-01	in Norwegian, MS thesis Universitetet i Oslo, Norway; details unknown
Antoniazza and Lane, 2021	Laberg and Vorren, 1996	10.1177/0309133321997292	Norway	Modern Norwegian glaciers	Fennoscandia	67.83612	15.03983		1964.90000	143.26593	High-latitude	sed, met,	Volumetric	2.80000E+05	6.22000E+05					4.00000E-01	2.00000E-01	7.50000E-01	https://doi.org/10.1016/0921-8181(95)00026-7
Antoniazza and Lane, 2021	Müller, 1999	10.1177/0309133321997292	Walensee Valley, Switzerland	unnamed	Alps	47.12264	9.20298		1719.60000	319.93307	Alpine	sed,	Volumetric	2.69000E+02	1.50000E+04			1.78000E+01	2.45000E+01	1.50000E+00	1.24000E+00	1.69000E+00	10.1016/S0985-3111(00)87046-1; catchment of the Lake of Walenstadt; soft-rock denudation & paraglacial estimates
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.19000E+02		7.10000E-03			3.00000E-02	0.00000E+00	1.40000E-01	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.00000E+02		9.40000E-03			5.00000E-02	0.00000E+00	5.00000E-02	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.02000E+02		9.60000E-03			5.00000E-02	0.00000E+00	5.00000E-02	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.00000E+02		1.16000E-02			6.00000E-02	0.00000E+00	6.00000E-02	
Balter-Kennedy et al., 2021	Balter-Kennedy et al., 2021	10.1029/2021JF006429	Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		569.00000	32.08894	Continental	gabbro, granodiorite, ign, met,	Cosmogenic surface	1.00000E-08	2.13000E+02		1.30000E-02			6.00000E-02	0.00000E+00	1.70000E-01	
