Locality,Glacier,Region,Lat,Long,Present in Main?,Notes
Ajutor-3 (Ледник Аютор),Ajutor-3,Central Asia,42.053637,-70.407176,TRUE,
Andvord Bay,Andvord Bay,Antarctica,64.833333,62.65,TRUE,
Gulf of Alaska/St. Elias Mts,unnamed: Gulf of Alaska/St. Elias Mts,Alaska,60.264489,-139.109146,TRUE,
Gulf of Alaska/St. Elias Mts,unnamed: Gulf of Alaska/St. Elias Mts,Alaska,60.264489,-139.109146,TRUE,
Chugach–St. Elias Range,unnamed: Chugach–St. Elias Range,Alaska,61.16691422,-145.3332904,TRUE,
St. Elias Mountains,St. Elias Mountains averaged,Alaska,60.498286,-139.505558,TRUE,
"Tinée Valley, France","unnamed: Tinée Valley, France","Alps, France",44.116796,7.112985,TRUE,
Antarctic peninusla,Faraday,Antarctica,65.4,64.4,FALSE,
Antarctic peninusla,Bellingshausen,Antarctica,62.2,58.9,FALSE,
Antarctic peninusla,Ohiggins,Antarctica,63.3,57.9,FALSE,
Antarctic peninusla,Marambio,Antarctica,64.2,56.7,FALSE,
Antarctic peninusla,Arturo Prat,Antarctica,62.5,59.7,FALSE,
Antarctic peninusla,Esperanza,Antarctica,63.4,57,FALSE,
Antarctic peninusla,Marsh,Antarctica,62.2,58.9,FALSE,
"Austre Brøggerbreen, Svalbard","Austre Brøggerbreen, Svalbard",Fennoscandia,78.909899,11.808299,TRUE,
"Austre Memurubreen, Norway","Austre Memurubreen, Norway",Fennoscandia,61.58279662,8.322754909,TRUE,
Bench,Bench,Alaska,61.025612,145.676638,TRUE,
"Bertol Inferieur, Switzerland","Bertol Inferieur, Switzerland",Swiss Alps,46.00489182,7.53182399,TRUE,
"Bødalsbreen, Norway","Bødalsbreen, Norway",Fennoscandia,60.9824,7.2265,TRUE,
"Bondhusbreen, Norway","Bondhusbreen, Norway",Fennoscandia,60.006,6.551,TRUE,
"Brøggerbreen, Svalbard","Brøggerbreen, Svalbard",Fennoscandia,78.1775,15.6536,TRUE,
"Cambridge F., NE Canada","Cambridge F., NE Canada",Canadian arctic islands,71.5,-74.5,TRUE,
"Caroll, Goldthwait","Caroll, Goldthwait",Alaska,58.88484749,-136.7033826,TRUE,
