Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
53.3443	-1.87818	53.3443;-1.87818	sed, 	341.04999999999995	18.0	sedimentary rocks | paleozoic sedimentary rocks | 
67.18026	25.40585	67.18026;25.40585	plut, ign, 	2050.0	450.0	intrusive igneous rocks | paleoproterozoic intrusive rocks | 
62.28011	8.68988	62.28011;8.68988	sed, volc, ign, met, 	1519.4	981.0	orthogneiss/paragneiss/metavolcanic gneiss | proterozoic crystalline metamorphic rocks | 
61.59991	-143.06951	61.59991;-143.06951	basalt, volc, ign, 	226.601	25.0	mafic volcanic rocks | mesozoic volcanic rocks | 
45.99144	7.49477	45.99144;7.49477	sed, basalt, volc, ign, met, 	133.65	68.0	blueschist grade metasedimentary/metavolcanic schist | mesozoic crystalline metamorphic rocks | 
77.56008	15.48453	77.56008;15.48453		NaN	NaN	na | na | na
67.83612	15.03983	67.83612;15.03983	sed, met, 	1459.6	1040.0	metasedimentary schist | precambrian-phanerozoic crystalline metamorphic rocks | 
47.12264	9.20298	47.12264;9.20298	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
69.2167	-49.9857	69.2167;-49.9857	gabbro, granodiorite, ign, met, 	2850.0	350.0	granodiorite gneiss; amphibolite grade orthogneiss | archean crystalline metamorphic rocks | 
49.75957	-94.55158	49.75957;-94.55158	plut, ign, 	2650.0	150.0	intrusive igneous rocks | archean intrusive rocks | 
76.0	20.0	76;20		NaN	NaN	na | na | na
72.4	20.0	72.4;20		NaN	NaN	na | na | na
65.7763	-22.39488	65.7763;-22.39488	basalt, volc, ign, 	34.29	32.0	mafic volcanic rocks | cenozoic volcanic rocks | 
64.15332	-16.40858	64.15332;-16.40858		NaN	NaN	 |  | 
65.77	-22.37	65.77;-22.37	basalt, volc, ign, 	34.29	32.0	mafic volcanic rocks | cenozoic volcanic rocks | 
66.44895	-65.64205	66.44895;-65.64205	plut, ign, 	2050.0	450.0	intrusive igneous rocks | paleoproterozoic intrusive rocks | 
67.011	-50.72	67.011;-50.72	granite, ign, met, 	2850.0	350.0	granitoid gneiss; granulite grade orthogneiss | archean crystalline metamorphic rocks | 
66.7422	-53.5639	66.7422;-53.5639		NaN	NaN	na | na | na
80.0167	-21.0	80.0167;-21	sed, 	769.4	231.0	sedimentary rocks | neoproterozoic sedimentary rocks | 
46.00489	7.53182	46.00489;7.53182	sed, basalt, volc, ign, met, 	133.65	68.0	blueschist grade metasedimentary/metavolcanic schist | mesozoic crystalline metamorphic rocks | 
46.1167	7.3819	46.1167;7.3819	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
46.108	7.0921	46.108;7.0921	plut, ign, 	305.40099999999995	53.0	intrusive igneous rocks | paleozoic intrusive rocks | 
46.0517	7.5153	46.0517;7.5153	sed, basalt, volc, ign, met, 	133.65	68.0	blueschist grade metasedimentary/metavolcanic schist | mesozoic crystalline metamorphic rocks | 
46.6463	8.2547	46.6463;8.2547	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
46.6067	8.3311	46.6067;8.3311	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
45.9767	7.5625	45.9767;7.5625	sed, basalt, volc, ign, met, 	133.65	68.0	blueschist grade metasedimentary/metavolcanic schist | mesozoic crystalline metamorphic rocks | 
46.0054	7.7457	46.0054;7.7457	basalt, volc, ign, 	305.40099999999995	53.0	ophiolite complex; mafic volcanic rocks | paleozoic volcanic and intrusive rocks | 
61.5828	8.32275	61.5828;8.32275	plut, ign, 	538.8	NaN	intrusive igneous rocks | precambrian intrusive rocks | 
60.9824	7.2265	60.9824;7.2265	plut, ign, 	538.8	NaN	intrusive igneous rocks | precambrian intrusive rocks | 
60.006	6.551	60.006;6.551	sed, granite, ign, met, 	1519.4	981.0	granitoid gneiss; orthogneiss/paragneiss | proterozoic crystalline metamorphic rocks | 
67.8556	15.5942	67.8556;15.5942	sed, met, 	1459.6	1040.0	metasedimentary schist | precambrian-phanerozoic crystalline metamorphic rocks | 
61.641	7.7698	61.641;7.7698	sed, volc, ign, met, 	1519.4	981.0	orthogneiss/paragneiss/metavolcanic gneiss | proterozoic crystalline metamorphic rocks | 
78.1947	15.62	78.1947;15.62	siliciclast, shale, carb, sed, 	49.95	16.0	mudstone-carbonate-sandstone | cenozoic sedimentary rocks | 
61.5652	6.3602	61.5652;6.3602	sed, volc, ign, met, 	1519.4	981.0	orthogneiss/paragneiss/metavolcanic gneiss | proterozoic crystalline metamorphic rocks | 
78.0956	15.7331	78.0956;15.7331	siliciclast, shale, carb, sed, 	49.95	16.0	mudstone-carbonate-sandstone | cenozoic sedimentary rocks | 
78.0587	15.7446	78.0587;15.7446	siliciclast, shale, carb, sed, 	49.95	16.0	mudstone-carbonate-sandstone | cenozoic sedimentary rocks | 
61.5136	7.2647	61.5136;7.2647	sed, volc, ign, met, 	1519.4	981.0	orthogneiss/paragneiss/metavolcanic gneiss | proterozoic crystalline metamorphic rocks | 
61.4456	7.1814	61.4456;7.1814	sed, met, 	1459.6	1040.0	metasedimentary schist | precambrian-phanerozoic crystalline metamorphic rocks | 
61.2871	7.9121	61.2871;7.9121	plut, ign, 	538.8	NaN	intrusive igneous rocks | precambrian intrusive rocks | 
60.69	6.6792	60.69;6.6792	sed, volc, ign, met, 	538.8	NaN	orthogneiss/paragneiss/metavolcanic gneiss | precambrian crystalline metamorphic rocks | 
78.1775	15.6536	78.1775;15.6536	siliciclast, shale, carb, sed, 	49.95	16.0	mudstone-carbonate-sandstone | cenozoic sedimentary rocks | 
58.88485	-136.70338	58.88485;-136.70338		NaN	NaN	na | na | na
59.8667	-139.7273	59.8667;-139.7273		NaN	NaN	na | na | na
60.67736	-144.69218	60.67736;-144.69218		NaN	NaN	na | na | na
58.7961	-139.2629	58.7961;-139.2629		NaN	NaN	na | na | na
42.05364	-70.40718	42.05364;-70.40718		NaN	NaN	na | na | na
38.2717	72.0036	38.2717;72.0036	sed, 	158.951	93.0	sedimentary rocks | mesozoic sedimentary rocks | 
NaN	NaN	NaN;NaN		NaN	NaN	na | na | na
41.99972	77.48575	41.99972;77.48575	plut, ign, 	491.29999999999995	47.0	intrusive igneous rocks | paleozoic intrusive rocks | 
