Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
46.02065	7.74914	46.02065;7.74914	basalt, volc, ign, 	305.40099999999995	53.0	ophiolite complex; mafic volcanic rocks | paleozoic volcanic and intrusive rocks | 
47.75	-123.5	47.75;-123.5	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
34.62437	-114.52653	34.62437;-114.52653	sed, 	23.03	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
53.08	70.18833	53.08;70.18833	met, 	2500.0	NaN	crystalline metamorphic rocks | archean crystalline metamorphic rocks | 
44.89187	7.14142	44.89187;7.14142	sed, 	742.7	257.0	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
34.95586	24.91934	34.95586;24.91934	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-43.59499	170.14179	-43.59499;170.14179	shale, carb, chert, sed, basalt, volc, ign, 	198.451	53.0	mafic volcanic rocks; basalt; chert,greywacke,argillite,limestone | mesozoic sedimentary and volcanic rocks | 
-4.0	140.0	-4;140	sed, 	158.951	93.0	sedimentary rocks | mesozoic sedimentary rocks | 
-16.45312	-67.26046	-16.45312;-67.26046	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.67523	-67.08921	-16.67523;-67.08921	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.03055	-66.99166	-17.03055;-66.99166	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.52067	-67.86318	-16.52067;-67.86318	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.44212	-67.43696	-16.44212;-67.43696	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.98358	-67.66487	-16.98358;-67.66487	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.91191	-67.59651	-16.91191;-67.59651	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.86431	-67.50487	-16.86431;-67.50487	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.85524	-67.52812	-16.85524;-67.52812	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.01945	-66.69504	-17.01945;-66.69504	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.82079	-66.84933	-16.82079;-66.84933	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.96688	-66.7711	-16.96688;-66.7711	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.05607	-66.71808	-17.05607;-66.71808	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.33454	-65.8968	-17.33454;-65.8968	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.32607	-65.86021	-17.32607;-65.86021	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.26395	-65.90115	-17.26395;-65.90115	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-18.18288	-63.5581	-18.18288;-63.5581	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.88074	-63.33642	-17.88074;-63.33642	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-17.87204	-63.29513	-17.87204;-63.29513	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-17.72385	-66.23266	-17.72385;-66.23266	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-18.33855	-65.46671	-18.33855;-65.46671	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-18.46373	-64.36611	-18.46373;-64.36611	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-18.46062	-64.35625	-18.46062;-64.35625	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-20.09267	-63.89455	-20.09267;-63.89455	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-20.34364	-63.04346	-20.34364;-63.04346	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-19.03611	-65.39845	-19.03611;-65.39845	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
-19.26653	-65.29378	-19.26653;-65.29378	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-19.36306	-64.90686	-19.36306;-64.90686	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-20.17027	-65.87502	-20.17027;-65.87502	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-21.15133	-65.20441	-21.15133;-65.20441	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-21.02022	-64.97351	-21.02022;-64.97351	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-21.14871	-64.20867	-21.14871;-64.20867	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-21.2919	-63.42678	-21.2919;-63.42678	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-21.33511	-64.60162	-21.33511;-64.60162	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-21.44504	-64.63953	-21.44504;-64.63953	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-21.47974	-64.65922	-21.47974;-64.65922	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-21.57527	-64.14427	-21.57527;-64.14427	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-21.56107	-64.15202	-21.56107;-64.15202	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-16.32861	-67.555	-16.32861;-67.555	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.72666	-67.1925	-16.72666;-67.1925	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-16.69888	-66.73083	-16.69888;-66.73083	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-15.88722	-66.84861	-15.88722;-66.84861	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-17.73304	-63.20179	-17.73304;-63.20179	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
27.75	85.26	27.75;85.26	sed, 	721.9	278.0	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
28.95	81.44	28.95;81.44	sed, 	721.9	278.0	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
