Compilation	Reference	Reference DOI	Locality	Basin	Place	Region	Sample ID	Latitude	Longitude	Elevation (m)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Burbank et al., 2000	Amato et al., 1999	10.1016/S0012-821X(99)00161-2	Zermatt-Saas ophiolite		European Alps	Europe		46.02065	7.74914		416.31849	Fluvial		Relief		2.00000E+07		6.00000E+00			3.00000E+00			Likely partly glacial
Burbank et al., 2000	Amato et al., 1999	10.1016/S0012-821X(99)00161-2	Zermatt-Saas		European Alps	Europe		46.02065	7.74914		416.31849	Fluvial		Relief		4.75000E+06		6.50000E+01			1.80000E+01	1.00000E+01	2.60000E+01	Likely partly glacial
Burbank et al., 2000	Brandon et al., 1998	10.1130/0016-7606(1998)110%3C0985:LCEOTC%3E2.3.CO;2	Ultrahigh-P rocks, Olympic Range, Washington		USA	North America		47.75000	-123.50000		353.44546	Fluvial		Thermochronometric		1.10000E+07		9.00000E+00			1.20000E+00			Likely partly glacial
Burbank et al., 2000	Foster and John, 1999	10.1144/GSL.SP.1999.154.01.16	Chemehuevi Mountains, Basin and Range		USA	North America		34.62437	-114.52653		95.51125	Fluvial		Thermochronometric		4.00000E+06		1.25000E+01	1.00000E+01	1.50000E+01	3.00000E+00	2.00000E+00	4.00000E+00	
Burbank et al., 2000	Hacker et al., 2003	10.1016/S0024-4937(03)00092-6	Kokchetav Massif		Kazakhstan	Central Asia		53.08000	70.18833		56.48245	Fluvial		Relief		7.00000E+06		1.60000E+02			2.00000E+01			Possibly partly glacial?
Burbank et al., 2000	Rubatto and Hermann, 2001	10.1016/S0024-4937(03)00092-6	Dora Maira Massif		European Alps	Europe		44.89187	7.14142		365.48531	Fluvial		Relief		2.00000E+06		1.00000E+01			5.00000E+00			Likely partly glacial
Burbank et al., 2000	Rubatto and Hermann, 2001	10.1016/S0024-4937(03)00092-6	Dora Maira Massif		European Alps	Europe		44.89187	7.14142		365.48531	Fluvial		Relief		2.00000E+06		7.50000E+01			3.40000E+01			Likely partly glacial
Burbank et al., 2000	Rubatto and Hermann, 2001	10.1016/S0024-4937(03)00092-6	Dora Maira Massif		European Alps	Europe		44.89187	7.14142		365.48531	Fluvial		Relief		1.00000E+06		1.70000E+01			1.60000E+01			Likely partly glacial
Burbank et al., 2000	Thomson et al., 1999	10.1144/GSL.SP.1999.154.01.04	Lendas, Crete		Greece	Europe		34.95586	24.91934		153.34328	Fluvial		Relief		4.00001E+06		2.50000E+01			6.00000E+00	4.00000E+00	8.00000E+00	
Burbank et al., 2000	Tippett and Kamp, 1995	10.1002/esp.3290200206	Southern Alps		New Zealand	Pacific		-43.59499	170.14179		415.96643	Fluvial		Thermochronometric		2.00000E+06		1.50000E+01	1.00000E+01	2.00000E+01	8.00000E+00	6.00000E+00	1.00000E+01	Likely partly glacial
