Compilation	Reference	Reference DOI	Locality	Place	Region	Latitude	Longitude	Elevation (m)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments	
Chen, Wu, et al., 2022	Haas et al., 2013	10.1002/grl.50726	Promethei Terra	Promethei Terra	Mars				?		Headwall retreat		1.25000E+06					2.19500E-03	8.90000E-04	3.50000E-03		
Chen, Wu, et al., 2022	Chen, Wu, et al., 2022	10.1029/2022EA002252	Southern Utopia Planitia	Southern Utopia Planitia	Mars				?		Rock degradation		1.10000E+09					1.31500E-07	5.40000E-08	2.09000E-07		
Golombek et al., 2006	Craddock et al., 1997	10.1029/97JE01084	Sinus Sabaeus and Margaritifer Sinus	Sinus Sabaeus and Margaritifer Sinus	Mars	 -14o to -31o	337o to 23o		fluvial	Basalt	Crater rim degradation	1.10000E+06	2.50000E+08		2.00000E+02			8.00000E-04				
Golombek et al., 2006	Hartmann et al., 1999	10.1038/17545	Arsia Mons caldera	Arsia Mons caldera	Mars				?	Basalt	Crater rim degradation		2.50000E+08		2.50000E+02			1.00000E-03				
Golombek et al., 2006	Craddock and Maxwell, 1993	10.1029/92JE02508	Cratered Highlands	Cratered Highlands	Mars	-30o to 30o	all	1000 to 5000	fluvial	Basalt	Crater rim degradation	1.64000E+07	9.50000E+08			2.90000E+02	2.30000E+03	1.29500E-03				
Golombek et al., 2006	Hynek and Phillips, 2001	10.1130/0091-7613(2001)029<0407:EFEDOT>2.0.CO;2	Margaritifer Sinus to northern Arabia Terra	Margaritifer Sinus to northern Arabia Terra	Mars				fluvial	Basalt	Meridiani denudation	1.00000E+07	1.30000E+08		1.00000E+03			7.70000E-03				
Golombek et al., 2006	Carr, 1992	https://adsabs.harvard.edu/full/1992LPI....23..205C	Hesperian basal terrains	Hesperian basal terrains	Mars				fluvial + eolian	Basalt	Crater rim degradation	1.00000E+06	3.70000E+09		6.50000E+01			1.80000E-05				
Golombek et al., 2006	Grant et al., 2006	10.1029/2006GL026964	Gusev Plains	Gusev Plains	Mars				eolian	Basalt	Deflation of Husband Hill		3.60000E+09		3.00000E+00			8.00000E-07				
Golombek et al., 2006	Golombek et al., 2006	10.1029/2006JE002754	Gusev Landing Site and cratered plains	Gusev Landing Site and cratered plains	Mars				eolian	Basalt	Deflation		3.50000E+09		1.60000E-01	5.00000E-02	2.70000E-01	3.00000E-08				
Golombek et al., 2006	Arvidson et al., 1979	10.1038/278533a0	Viking landing site	Viking landing site	Mars				eolian	Basalt	Fresh crater rim height	1.38544E-01	3.20000E+09		3.00000E+00			1.00000E-06				
