Latitude	Longitude	Precipitation_mm_yr
53.3443	-1.87818	1291.2
53.3443	-1.87818	1291.2
67.18026	25.40585	783.5
62.28011	8.68988	897.0
61.59991	-143.06951	957.7
61.59991	-143.06951	957.7
45.99144	7.49477	1663.6
45.99144	7.49477	1663.6
77.56008	15.48453	578.7
67.83612	15.03983	1964.9
47.12264	9.20298	1719.6
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
49.75957	-94.55158	718.1
64.75	-19.98333	2009.0
64.81667	-18.81667	1815.8
65.7763	-22.39488	1303.8
63.66666	-19.1	5424.2
63.06682	-151.00673	2338.9
35.88029	76.51263	753.8
28.59419	83.9889	3579.0
35.23708	74.58927	1527.2
72.4	20.0	710.7
72.4	20.0	710.7
72.4	20.0	710.7
76.0	20.0	438.1
76.0	20.0	438.1
76.0	20.0	438.1
65.7763	-22.39488	1303.8
64.15332	-16.40858	3467.6
64.84	-18.38	1219.8
65.0	-14.0	1735.4
65.0	-14.0	1735.4
64.5	-16.0	3064.9
64.5	-16.0	3064.9
66.44895	-65.64205	914.2
67.011	-50.72	241.2
80.0167	-21.0	237.0
66.7422	-53.5639	508.0
46.00489	7.53182	1631.0
46.0517	7.5153	1284.3
46.0054	7.7457	1297.7
45.9767	7.5625	1758.9
46.6067	8.3311	1978.4
46.1167	7.3819	1544.6
46.6463	8.2547	2054.2
46.108	7.0921	882.3
61.5136	7.2647	2037.5
78.1947	15.62	505.2
78.0587	15.7446	542.0
60.9824	7.2265	1953.5
61.5652	6.3602	2622.1
60.69	6.6792	2601.4
78.0956	15.7331	545.9
61.5828	8.32275	1639.3
67.8556	15.5942	2118.2
60.006	6.551	2333.5
61.2871	7.9121	1280.6
61.641	7.7698	1430.8
61.4456	7.1814	2973.4
78.1775	15.6536	514.0
58.8045	-137.15675	4495.3
59.03702	-136.5477	3483.5
60.67736	-144.69218	3582.9
60.07272	-139.31007	5420.7
42.05364	-70.40718	1247.5
42.14763	78.2716	1048.3
