Latitude	Longitude	Precipitation_mm_yr
46.02065	7.74914	1210.7
46.02065	7.74914	1210.7
47.75	-123.5	2995.5
34.62437	-114.52653	164.9
53.08	70.18833	399.3
44.89187	7.14142	1152.4
44.89187	7.14142	1152.4
44.89187	7.14142	1152.4
34.95586	24.91934	719.1
-43.59499	170.14179	8646.0
-4.0	140.0	4663.5
-16.45312	-67.26046	1453.0
-16.67523	-67.08921	1528.5
-17.03055	-66.99166	564.6
-16.52067	-67.86318	1903.2
-16.44212	-67.43696	1386.3
-16.98358	-67.66487	823.2
-16.91191	-67.59651	1486.7
-16.86431	-67.50487	1835.1
-16.85524	-67.52812	1729.0
-17.01945	-66.69504	1274.0
-16.82079	-66.84933	1140.6
-16.96688	-66.7711	1179.1
-17.05607	-66.71808	1054.5
-17.33454	-65.8968	2640.9
-17.32607	-65.86021	2596.7
-17.26395	-65.90115	2886.1
-18.18288	-63.5581	1341.9
-17.88074	-63.33642	1359.0
-17.87204	-63.29513	1384.9
-17.72385	-66.23266	455.9
-18.33855	-65.46671	617.8
-18.46373	-64.36611	398.5
-18.46062	-64.35625	394.4
-20.09267	-63.89455	859.2
-20.34364	-63.04346	863.8
-19.03611	-65.39845	769.6
-19.26653	-65.29378	459.3
-19.36306	-64.90686	434.3
-20.17027	-65.87502	504.4
-21.15133	-65.20441	359.7
-21.02022	-64.97351	426.3
-21.14871	-64.20867	869.5
-21.2919	-63.42678	905.2
-21.33511	-64.60162	714.6
-21.44504	-64.63953	722.6
-21.47974	-64.65922	605.4
-21.57527	-64.14427	1104.3
-21.56107	-64.15202	1068.5
-16.32861	-67.555	1305.1
-16.72666	-67.1925	1009.8
-16.69888	-66.73083	1518.8
-15.88722	-66.84861	2098.8
-17.73304	-63.20179	1491.4
27.75	85.26	2225.6
28.95	81.44	1572.0
28.64	81.29	2083.7
27.64	82.02	1440.2
27.9	82.85	2044.6
27.95	82.23	1559.3
28.01	83.6	2175.5
27.97	85.18	2164.7
27.71	84.43	2304.5
27.11	85.48	1902.8
28.87	87.16	942.0
26.7	87.88	2738.0
35.60088	-107.16661	284.5
35.59225	-107.18944	292.2
34.41027	-106.85444	239.0
34.79388	-106.98888	236.7
34.96805	-107.18638	237.6
