Country,Location,Station ID,Short-term erosion rate (mm kyr^-1),Basin area (km^2),Latitude,Longitude,Koppen¡VGeiger classification,Aridity Index,Aridity Index category,Reference
Bolivia,SIR,,2800,270,-16.453119,-67.260455,Cf,0.9256,Semi-arid,Aalto et al. 2006 
Bolivia,TAM,,950,950,-16.675232,-67.089213,Cf,0.817,Semi-arid,Aalto et al. 2006 
Bolivia,VBA,,1550,1900,-17.03055,-66.99166,Cw,0.7033,Humid,Aalto et al. 2006 
Bolivia,HUL,,1530,17,-16.520669,-67.863177,Cw,0.6525,Humid,Aalto et al. 2006 
Bolivia,ACH,,2000,38,-16.442118,-67.43696,Cf,0.7752,Humid,Aalto et al. 2006 
Bolivia,LUR,,2980,810,-16.983579,-67.664867,Cw,0.4698,Semi-arid,Aalto et al. 2006 
Bolivia,POR,,1250,240,-16.911908,-67.596507,Cw,0.4057,Semi-arid,Aalto et al. 2006 
Bolivia,VER,,30,140,-16.864313,-67.504867,Cw,0.5298,Dry sub-humid,Aalto et al. 2006 
Bolivia,MIG,,50,360,-16.855235,-67.528119,Cw,0.4297,Semi-arid,Aalto et al. 2006 
Bolivia,CAJ,,6910,6500,-17.019454,-66.695035,Cw,0.7245,Humid,Aalto et al. 2006 
Bolivia,COT,,2730,5600,-16.820792,-66.849332,Cw,0.7627,Humid,Aalto et al. 2006 
Bolivia,MIS,,10,350,-16.966878,-66.771099,Cw,0.7816,Semi-arid,Aalto et al. 2006 
Bolivia,VIN,,20,50,-17.056067,-66.718078,Cw,0.7081,Humid,Aalto et al. 2006 
Bolivia,LOC,,1260,200,-17.334535,-65.896804,Cw,0.5781,Humid,Aalto et al. 2006 
Bolivia,SPE,,4130,320,-17.326073,-65.860209,Cw,0.7244,Humid,Aalto et al. 2006 
Bolivia,ICO,,1870,2300,-17.263954,-65.901148,Cw,1.005,Humid,Aalto et al. 2006 
Bolivia,BER,,470,480,-18.182876,-63.558096,Aw,0.6129,Dry sub-humid,Aalto et al. 2006 
Bolivia,ELV,,180,64,-17.880736,-63.336416,Aw,0.7746,Humid,Aalto et al. 2006 
Bolivia,EPS,,780,203,-17.872036,-63.29513,Aw,0.7712,Humid,Aalto et al. 2006 
Bolivia,AMO,,5170,9200,-17.723845,-66.232655,BSk,0.3114,Semi-arid,Aalto et al. 2006 
Bolivia,HUR,,480,11200,-18.338545,-65.466712,Cw,0.3743,Semi-arid,Aalto et al. 2006 
Bolivia,PNA,,2500,31200,-18.463728,-64.366111,BSh,0.4298,Semi-arid,Aalto et al. 2006 
