Reference	Reference DOI	Sample_ID	Location_ID	Basin_ID	Basin	Place	Region	Latitude	Longitude	Elevation	Season	Observation Type	Sample Type	filtersize_mum	Area (km2)	Time interval (yr)	Discharge_m3_s	Annual_Discharge_m3_s	TSS_mg_L	TSS_kg_s	TSS_km3_yr	Erosion rate (mm/yr)	Sand_perc	Silt_perc	Clay_perc
GEMS-GLORI (Meybeck and Ragu, 1998)		ARG-PAR-111114-GGR1	ARG-PAR-111114	1004	Paraná	Argentina, Coast	Argentina	-34	-58.2833			an	SS		2582672	1	17999.2034718689	19706	139.1	2741.1046	0.032016101728	0.012396503205982			
GEMS-GLORI (Meybeck and Ragu, 1998)		ARG-URU-111112-GGR1	ARG-URU-111112	1005	Uruguay	Uruguay, Coast	Uruguay	-33.9167	-58.3667			an	SS		353451	1	4594.86708348766	7058	75.9	535.7022	0.006257001696	0.0177026000662044			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE1	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Winter	single	SS	cent	21863	0.00273972602739726		104	101	10.504	0.00012268672	0.00561161414261538			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE2	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Spring	single	SS	cent	21863	0.00273972602739726		104	67	6.968	0.00008138624	0.00372255591638842			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE3	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Spring	single	SS	cent	21863	0.00273972602739726		104	222	23.088	0.00026966784	0.0123344390065407			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE4	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Summer	single	SS	cent	21863	0.00273972602739726		104	80	8.32	0.0000971776	0.0044448428852399			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE5	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Summer	single	SS	cent	21863	0.00273972602739726		104	36	3.744	0.00004372992	0.00200017929835796			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE6	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Autumn	single	SS	cent	21863	0.00273972602739726		104	96	9.984	0.00011661312	0.00533381146228788			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE7	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Winter	single	SS	cent	21863	0.00273972602739726		104	76	7.904	0.00009231872	0.00422260074097791			
Zwolsman and van Eck, 1999		BEL-SLD-111111-ZVE8	BEL-SLD-111111	3008	Scheldt	Confluence of Rupel & Scheldt in Belgium	Belgium	51.1282	4.3156		Winter	single	SS	cent	21863	0.00273972602739726		104	116	12.064	0.00014090752	0.00644502218359786			
Garzanti et al., 2011		BGD-BMP-111115-GZT1	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	1000	19824	0.23154432	0.325186711327393			
Garzanti et al., 2011		BGD-BMP-111115-GZT10	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	800	15859.2	0.185235456	0.260149369061914			
Garzanti et al., 2011		BGD-BMP-111115-GZT11	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	1400	27753.6	0.324162048	0.45526139585835			
Garzanti et al., 2011		BGD-BMP-111115-GZT12	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	2100	41630.4	0.486243072	0.682892093787525			
Garzanti et al., 2011		BGD-BMP-111115-GZT2	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	4300	85243.2	0.995640576	1.39830285870779			
Garzanti et al., 2011		BGD-BMP-111115-GZT3	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	1300	25771.2	0.301007616	0.42274272472561			
Garzanti et al., 2011		BGD-BMP-111115-GZT4	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	1800	35683.2	0.416779776	0.585336080389307			
Garzanti et al., 2011		BGD-BMP-111115-GZT5	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	3100	61454.4	0.717787392	1.00807880511492			
Garzanti et al., 2011		BGD-BMP-111115-GZT6	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	6000	118944	1.38926592	1.95112026796436			
Garzanti et al., 2011		BGD-BMP-111115-GZT7	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	6400	126873.6	1.481883648	2.08119495249531			
Garzanti et al., 2011		BGD-BMP-111115-GZT8	BGD-BMP-111115	4034	Brahmaputra	Bangladesh, Meghna Delta region	Bangladesh	24.46817	89.725		Summer	single	SS		712035	0.00273972602739726		19824	800	15859.2	0.185235456	0.260149369061914			
Chakrapani 2005		BGD-GGS-111114-CKP1	BGD-GGS-111114	4035	Ganges	N India, Himalaya	India	30.21334	78.747957		Winter	single	SS	0.2	1999000	0.00273972602739726		38129	24	915.096	0.01068832128	0.00534683405702851			
Chakrapani 2005		BGD-GGS-111114-CKP2	BGD-GGS-111114	4035	Ganges	N India, Himalaya	India	30.21334	78.747957		Winter	single	SS	0.2	1999000	0.00273972602739726		38129	13.6	518.5544	0.006056715392	0.00302987263231616			
Chakrapani 2005		BGD-GGS-111114-CKP3	BGD-GGS-111114	4035	Ganges	N India, Himalaya	India	30.21334	78.747957		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	8.4	320.2836	0.003740912448	0.00187139191995998			
Chakrapani 2005		BGD-GGS-111114-CKP4	BGD-GGS-111114	4035	Ganges	N India, Himalaya	India	30.21334	78.747957		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	1	38.129	0.00044534672	0.000222784752376188			
Chakrapani 2005		BGD-GGS-111114-CKP5	BGD-GGS-111114	4035	Ganges	N India, Himalaya	India	30.21334	78.747957		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	85	3240.965	0.0378544712	0.018936703951976			
Chakrapani 2005		BGD-GGS-111115-CKP1	BGD-GGS-111115	4035	Ganges	N India, Himalaya	India	30.21528278	78.561761		Winter	single	SS	0.2	1999000	0.00273972602739726		38129	26.8	1021.8572	0.011935292096	0.00597063136368184			
Chakrapani 2005		BGD-GGS-111115-CKP2	BGD-GGS-111115	4035	Ganges	N India, Himalaya	India	30.21528278	78.561761		Winter	single	SS	0.2	1999000	0.00273972602739726		38129	19.2	732.0768	0.008550657024	0.00427746724562281			
Chakrapani 2005		BGD-GGS-111115-CKP3	BGD-GGS-111115	4035	Ganges	N India, Himalaya	India	30.21528278	78.561761		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	23.6	899.8444	0.010510182592	0.00525772015607804			
Chakrapani 2005		BGD-GGS-111115-CKP4	BGD-GGS-111115	4035	Ganges	N India, Himalaya	India	30.21528278	78.561761		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	18	686.322	0.00801624096	0.00401012554277139			
Chakrapani 2005		BGD-GGS-111115-CKP5	BGD-GGS-111115	4035	Ganges	N India, Himalaya	India	30.21528278	78.561761		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	223	8502.767	0.09931231856	0.04968099977989			
Chakrapani 2005		BGD-GGS-111116-CKP1	BGD-GGS-111116	4035	Ganges	N India, Himalaya	India	30.063951	78.283008		Winter	single	SS	0.2	1999000	0.00273972602739726		38129	11.6	442.2964	0.005166021952	0.00258430312756378			
Chakrapani 2005		BGD-GGS-111116-CKP2	BGD-GGS-111116	4035	Ganges	N India, Himalaya	India	30.063951	78.283008		Winter	single	SS	0.2	1999000	0.00273972602739726		38129	8	305.032	0.00356277376	0.00178227801900951			
Chakrapani 2005		BGD-GGS-111116-CKP3	BGD-GGS-111116	4035	Ganges	N India, Himalaya	India	30.063951	78.283008		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	15.6	594.8124	0.006947408832	0.00347544213706853			
Chakrapani 2005		BGD-GGS-111116-CKP5	BGD-GGS-111116	4035	Ganges	N India, Himalaya	India	30.063951	78.283008		Spring	single	SS	0.2	1999000	0.00273972602739726		38129	124	4727.996	0.05522299328	0.0276253092946473			
Garzanti et al., 2011		BGD-GGS-111143-GZT10	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	1400	53380.6	0.623485408	0.311898653326663			
Garzanti et al., 2011		BGD-GGS-111143-GZT11	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	1800	68632.2	0.801624096	0.401012554277139			
